Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
https://www.booking.com/dml/graphql?ss=%D8%B9%D9%85%D9%91%D8%A7%D9%86&ssne=%D8%B9%D9%85%D9%91%D8%A7%D9%86&ssne_untouched=%D8%B9%D9%85%D9%91%D8%A7%D9%86&label=ar-sa-booking-desktop-IyFh7yg6wThIk5WP9zqMsQS652897958609%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9076989%3Ali%3Adec%3Adm&aid=2311236&lang=ar&sb=1&src_elem=sb&src=index&dest_id=-970362&dest_type=city&group_adults=2&no_rooms=1&group_children=0&sb_travel_purpose=leisure,50,192,131,677,92.68,100.00%,0.09037,0.09,0.17,970.6
https://www.booking.com/fl/exposed,50,239,160,650,92.48,0.00%,0.08611,0.11,0.31,1332.6
https://gtm-mktg.booking.com/g/collect?v=2&tid=G-A12345&gtm=45je35o0&_p=2046318219&gcs=G1--&cid=1515642662.1685104415&ul=en-us&sr=1366x768&uaa=x86&uab=64&uafvl=Microsoft%2520Edge%3B113.0.1774.42%7CChromium%3B113.0.5672.93%7CNot-A.Brand%3B24.0.0.0&uamb=0&uam=&uap=Windows&uapv=10.0.0&uaw=0&sst.uc=SA&sst.rnd=976035093.1685105262&sst.gcd=G1--&_s=1&sid=1685104419&sct=1&seg=1&dl=https%3A%2F%2Fwww.booking.com%2Fsearchresults.ar.html%3Fss%3D%25D8%25B9%25D9%2585%25D9%2591%25D8%25A7%25D9%2586%26ssne%3D%25D8%25B9%25D9%2585%25D9%2591%25D8%25A7%25D9%2586%26ssne_untouched%3D%25D8%25B9%25D9%2585%25D9%2591%25D8%25A7%25D9%2586%26label%3Dar-sa-booking-desktop-IyFh7yg6wThIk5WP9zqMsQS652897958609%253Apl%253Ata%253Ap1%253Ap2%253Aac%253Aap%253Aneg%253Afi%253Atikwd-334108349%253Alp9076989%253Ali%253Adec%253Adm%26aid%3D2311236%26lang%3Dar%26sb%3D1%26src_elem%3Dsb%26src%3Dindex%26dest_id%3D-970362%26dest_type%3Dcity%26group_adults%3D2%26no_rooms%3D1%26group_children%3D0%26sb_travel_purpose%3Dleisure&dr=https%3A%2F%2Fwww.booking.com%2Findex.ar.html%3Faid%3D2311236%3Blabel%3Dar-sa-booking-desktop-IyFh7yg6wThIk5WP9zqMsQS652897958609%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9076989%3Ali%3Adec%3Adm%3Bws%3D%26gclid%3DCjwKCAjwscGjBhAXEiwAswQqNJIA-KUVx-VahTQDVPv1abxAMn43aclgKdbxrOw6HBmXq9EzbRsP5hoCzmcQAvD_BwE&dt=Booking.com%20%3A%20%D9%81%D9%86%D8%A7%D8%AF%D9%82%20%D9%81%D9%8A%20%D8%B9%D9%85%D9%91%D8%A7%D9%86%20.%20%D8%A7%D8%AD%D8%AC%D8%B2%20%D9%81%D9%86%D8%AF%D9%82%D9%83%20%D8%A7%D9%84%D8%A2%D9%86!&en=page_view&ep.is_aid_mcc_level_tracked=&ep.cd_action=searchresults&ep.n_b=&richsstsse,25,198,97,653,146.84,0.00%,0.0453,0.02,0.11,398
https://ct.pinterest.com/user/?tid=2612859132799&pd=%7B%22np%22%3A%22gtm%22%2C%22em%22%3A%221bad6b8cf97131fceab8543e81f7757195fbb1d36b376ee994ad1cf17699c464%22%2C%22pin_unauth%22%3A%22dWlkPVl6Vm1NMkpqTkdJdFlUWmxNeTAwWkdGakxXRTNObVl0WkRNME1qWm1NV1V5WWprNQ%22%7D&cb=1685105262501&dep=2%2CPAGE_LOAD,25,240,167,501,94.25,0.00%,0.04533,0.05,0.03,1147
https://ct.pinterest.com/user/?event=search&ed=%7B%22np%22%3A%22gtm%22%7D&tid=2612859132799&cb=1685105262504&dep=5%2CEVENT_TAGS_ABSENT,25,189,164,339,35.35,0.00%,0.04525,0.05,0.02,1147
https://www.booking.com/hotel/jo/guest-house-amman.ar.html?label=ar-sa-booking-desktop-IyFh7yg6wThIk5WP9zqMsQS652897958609%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9076989%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&dest_id=-970362&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=f97459f3731d003b&srepoch=1685105256&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,25,7082,5091,9872,1304.87,0.00%,0.04485,72.18,2.52,1647992.8
https://accounts.google.com/gsi/log?client_id=901905703382-m88jn1h9ll89odkt6t5muc6h7ep83rlh.apps.googleusercontent.com&as=bz6nh5PvzeavPf%2BBpyZydw&event=onetap.card.prompt.cooldown.1,25,295,100,860,181.68,100.00%,0.04533,0.12,0.03,2782
https://www.booking.com/dml/graphql?aid=2311236&label=ar-sa-booking-desktop-IyFh7yg6wThIk5WP9zqMsQS652897958609%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9076989%3Ali%3Adec%3Adm&no_rooms=1&srpvid=f97459f3731d003b&highlighted_hotels=3599428&redirected=1&city=-970362&hlrd=no_dates&group_adults=2&source=hotel&group_children=0&expand_sb=1&keep_landing=1&sid=26279326fa977b9308dc947bf28627e4&lang=ar,50,177,135,358,39.28,100.00%,0.09019,0.09,0.17,969.9
https://gtm-mktg.booking.com/g/collect?v=2&tid=G-A12345&gtm=45je35o0&_p=405903957&gcs=G1--&cid=1515642662.1685104415&ul=en-us&sr=1366x768&uaa=x86&uab=64&uafvl=Microsoft%2520Edge%3B113.0.1774.42%7CChromium%3B113.0.5672.93%7CNot-A.Brand%3B24.0.0.0&uamb=0&uam=&uap=Windows&uapv=10.0.0&uaw=0&sst.uc=SA&sst.rnd=253933872.1685105277&sst.gcd=G1--&_s=1&sid=1685104419&sct=1&seg=1&dl=https%3A%2F%2Fwww.booking.com%2Fsearchresults.ar.html%3Faid%3D2311236%26label%3Dar-sa-booking-desktop-IyFh7yg6wThIk5WP9zqMsQS652897958609%253Apl%253Ata%253Ap1%253Ap2%253Aac%253Aap%253Aneg%253Afi%253Atikwd-334108349%253Alp9076989%253Ali%253Adec%253Adm%26no_rooms%3D1%26srpvid%3Df97459f3731d003b%26highlighted_hotels%3D3599428%26redirected%3D1%26city%3D-970362%26hlrd%3Dno_dates%26group_adults%3D2%26source%3Dhotel%26group_children%3D0%26expand_sb%3D1%26keep_landing%3D1%26sid%3D26279326fa977b9308dc947bf28627e4&dt=Booking.com%20%3A%20%D9%81%D9%86%D8%A7%D8%AF%D9%82%20%D9%81%D9%8A%20%D8%B9%D9%85%D9%91%D8%A7%D9%86%20.%20%D8%A7%D8%AD%D8%AC%D8%B2%20%D9%81%D9%86%D8%AF%D9%82%D9%83%20%D8%A7%D9%84%D8%A2%D9%86!&en=page_view&ep.is_aid_mcc_level_tracked=&ep.cd_action=searchresults&ep.n_b=&richsstsse,25,402,101,938,232.74,0.00%,0.04517,0.02,0.09,398.2
https://ct.pinterest.com/user/?tid=2612859132799&pd=%7B%22np%22%3A%22gtm%22%2C%22em%22%3A%221bad6b8cf97131fceab8543e81f7757195fbb1d36b376ee994ad1cf17699c464%22%2C%22pin_unauth%22%3A%22dWlkPVl6Vm1NMkpqTkdJdFlUWmxNeTAwWkdGakxXRTNObVl0WkRNME1qWm1NV1V5WWprNQ%22%7D&cb=1685105277738&dep=2%2CPAGE_LOAD,25,391,171,803,196.88,0.00%,0.04522,0.05,0.03,1147
https://ct.pinterest.com/user/?event=search&ed=%7B%22np%22%3A%22gtm%22%7D&tid=2612859132799&cb=1685105277742&dep=5%2CEVENT_TAGS_ABSENT,25,212,165,414,67.23,0.00%,0.04523,0.05,0.02,1147.1
https://www.booking.com/hotel/jo/guest-house-amman.ar.html?label=ar-sa-booking-desktop-IyFh7yg6wThIk5WP9zqMsQS652897958609%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9076989%3Ali%3Adec%3Adm&sid=26279326fa977b9308dc947bf28627e4&aid=2311236&ucfs=1&arphpl=1&dest_id=-970362&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=d0fd59faf4fc038a&srepoch=1685105270&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,25,13289,8155,21501,3562.29,0.00%,0.04344,537.99,4.1,12681659.1
https://www.booking.com/hotelfeaturedreviews/jo/guest-house-amman.ar.html?aid=2311236&label=ar-sa-booking-desktop-IyFh7yg6wThIk5WP9zqMsQS652897958609%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9076989%3Ali%3Adec%3Adm&sid=26279326fa977b9308dc947bf28627e4&dest_id=-970362;dest_type=city;dist=0;group_adults=2;group_children=0;hapos=1;hpos=1;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1685105270;srpvid=d0fd59faf4fc038a;type=total;ucfs=1&&_=1685105285673,25,542,344,1341,267.99,0.00%,0.04436,1.8,0.09,41611.2
https://www.booking.com/js_tracking?aid=2311236&pid=3cfb5a0004100026&ver=2&stype=1&sid=26279326fa977b9308dc947bf28627e4&ref_action=hotel&lang=ar&ete=&etg=hp_property_description_seen&etcg=&ets=&etgwv=&m=UmFuZG9tSVYkc2RlIyh9YZsAN9GfGDaoyI7OovOxkpFt4SQQEL48CEKtxDvmz31OGn1EgkVYBpvX3AUUmhcsJ8N4kEF_Q0-sqUYxHK8nokykBEkpC-9K4KIc3sbfpYWVMyQJkhM0PFddvFxPgJJA6qNazQW5lN9gTS_j37EB-2VRPiQYug0i853r4_KGsozyk3-ykL5pEoF-LVsIJRydAuFljTYAEb74pROhpdOtT0mpJ16tT3QIgbAbzaEIyymuq_G53eOo6_4IF56oBUoGQeBApDTODSxfOz9CHxCbKpVp9q52spbi0g,25,202,121,415,88,0.00%,0.04433,0.03,0.09,727
https://www.booking.com/acid_carousel,25,347,252,812,112.46,0.00%,0.04433,0.35,0.09,8200.6
https://www.booking.com/log_rt_blocks_order,25,247,154,391,71.27,100.00%,0.04419,0.06,0.1,1308.3
https://stats.g.doubleclick.net/j/collect?t=dc&aip=1&_r=3&v=1&_v=j100&tid=UA-116109-18&cid=1515642662.1685104415&jid=977345698&gjid=1993904763&_gid=310018675.1685104415&_u=SCCAgAIJAAAAgEgMI~&z=1337772038,25,543,290,1043,242.53,0.00%,0.04422,0.02,0.02,513
https://www.booking.com/orca/chunk-metadata?chunk=8716&mfe=b-property-web-property-page&lang=ar,25,474,286,1178,203.05,0.00%,0.0442,3.88,0.05,89813.7
https://www.booking.com/orca/chunk-metadata?chunk=7588&mfe=b-property-web-property-page&lang=ar,25,302,191,939,154.2,0.00%,0.04426,0.1,0.05,2378.5
https://www.booking.com/dml/graphql?label=ar-sa-booking-desktop-IyFh7yg6wThIk5WP9zqMsQS652897958609%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9076989%3Ali%3Adec%3Adm&sid=26279326fa977b9308dc947bf28627e4&aid=2311236&ucfs=1&arphpl=1&dest_id=-970362&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=d0fd59faf4fc038a&srepoch=1685105270&from_sustainable_property_sr=1&from=searchresults&lang=ar,25,208,134,743,131.88,100.00%,0.04425,0.04,0.09,970
https://accounts.google.com/gsi/log?client_id=901905703382-m88jn1h9ll89odkt6t5muc6h7ep83rlh.apps.googleusercontent.com&as=IYdUjpw6YhzO4NB1wXoUqw&event=onetap.card.prompt.cooldown.1,25,286,110,1167,260.85,100.00%,0.04437,0.12,0.02,2782
https://www.booking.com/orca/chunk-metadata?chunk=1651&mfe=b-property-web-property-page&lang=ar,25,326,203,1814,308.42,0.00%,0.0445,0.39,0.05,8877
https://gtm-mktg.booking.com/g/collect?v=2&tid=G-A12345&gtm=45je35o0&_p=1703811125&gcs=G1--&cid=1515642662.1685104415&ul=en-us&sr=1366x768&uaa=x86&uab=64&uafvl=Microsoft%2520Edge%3B113.0.1774.42%7CChromium%3B113.0.5672.93%7CNot-A.Brand%3B24.0.0.0&uamb=0&uam=&uap=Windows&uapv=10.0.0&uaw=0&sst.uc=SA&sst.rnd=686626770.1685105293&sst.gcd=G1--&_s=1&sid=1685104419&sct=1&seg=1&dl=https%3A%2F%2Fwww.booking.com%2Fhotel%2Fjo%2Fguest-house-amman.ar.html%3Faid%3D2311236%26label%3Dar-sa-booking-desktop-IyFh7yg6wThIk5WP9zqMsQS652897958609%253Apl%253Ata%253Ap1%253Ap2%253Aac%253Aap%253Aneg%253Afi%253Atikwd-334108349%253Alp9076989%253Ali%253Adec%253Adm%26sid%3D26279326fa977b9308dc947bf28627e4%26dest_id%3D-970362%3Bdest_type%3Dcity%3Bdist%3D0%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Bhapos%3D1%3Bhpos%3D1%3Bno_rooms%3D1%3Breq_adults%3D2%3Breq_children%3D0%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsr_order%3Dpopularity%3Bsrepoch%3D1685105270%3Bsrpvid%3Dd0fd59faf4fc038a%3Btype%3Dtotal%3Bucfs%3D1%26&dt=Guest%20House%20Hotel%20Amman%20by%20FHM%D8%8C%20%D8%B9%D9%85%D9%91%D8%A7%D9%86%20%E2%80%93%20%D8%A3%D8%AD%D8%AF%D8%AB%20%D8%A3%D8%B3%D8%B9%D8%A7%D8%B1%202023&en=page_view&ep.is_aid_mcc_level_tracked=&ep.cd_action=hotel&ep.n_b=&richsstsse,25,326,106,1207,285.45,0.00%,0.04463,0.02,0.09,398
https://ct.pinterest.com/user/?tid=2612859132799&pd=%7B%22np%22%3A%22gtm%22%2C%22em%22%3A%221bad6b8cf97131fceab8543e81f7757195fbb1d36b376ee994ad1cf17699c464%22%2C%22pin_unauth%22%3A%22dWlkPVl6Vm1NMkpqTkdJdFlUWmxNeTAwWkdGakxXRTNObVl0WkRNME1qWm1NV1V5WWprNQ%22%7D&cb=1685105293607&dep=2%2CPAGE_LOAD,25,352,183,931,215.63,0.00%,0.04472,0.05,0.03,1147.1
https://ct.pinterest.com/user/?event=pagevisit&ed=%7B%22np%22%3A%22gtm%22%2C%22line_items%22%3A%5B%7B%22product_id%22%3A%223599428%22%2C%22product_category%22%3A%22hotel%22%7D%5D%7D&tid=2612859132799&cb=1685105293610&dep=5%2CEVENT_TAGS_ABSENT,25,198,170,281,28.38,0.00%,0.04464,0.05,0.02,1147
Test,25,62704,45578,98493,16655.41,100.00%,0.03627,1107.97,14.39,31282024.5
TOTAL,2050,1529,89,98493,7472.2,22.00%,2.97404,2215.94,28.78,762976.2
